	awesome tv!!!!!!!.	1
	i've had this tv for over 2 years and it's still amazing!!!	1
	value, value, value.	1
	"i'd buy it again in a heartbeat when i need a new tv for game room, keeping room, etc.           		"	1
	exceeded our expectations.	1
	a great tv for a really reasonable price.	1
	we couldn't be happier with the picture quality, ease of use, and simple set-up.	1
	this is a bedroom tv that sits perpendicular to a large, 3-paned glass slide and opposite two very large windows and yet the picture has no glare in full florida sun.	1
	our only complaint is that the tv's speakers produce very poor sound quality.	1
	we remedied that problem by hooking the tv to a small onkyo receiver with bose speakers and the sound is now terrific.	1
	we waited 7 months to write a review to see what problems might develop and there have been absolutely none.	1
	"a great set for the money with an outstanding picture.           		"	1
	samsung is the best!.	1
	i bought this to put in our bedroom and we find our self's watching tv more in there than the living room!	1
	i've always had sony's, but now i'm definitely going for samsung.	1
	great lcd television all around!	1
	"!           		"	1
	samsung and amazon two great companys.	1
	"before purchasing my product i had not dealt with either company before.i was slightly appresensive about dealing with companies i was not familiar with.however after deciding                      to make my purchase i decided to give them a try.i have no regrets about making that decision.amazon aided my decision by provideing me with extensive information about my product.the price they offered was perfect for me because i am on a fixed income.i heard of samsung but had never owned one of their products.the first samsung we purchased was for our living room a 52inch flat screen lcd hd tv.i was very pleased with the quality of every acpect with the exception of the sound.we added extra speakers and the sound is surperb.the features of the tv work perfect for us.i was so pleased we purchased a second sumsung 40inch lcd hd tv for the bed room with the same features as the first one.i would highly recommend both companies to anyone who is interested  inculding my family and friends.           		"	1
	nice tv for the price.	1
	we got this tv for 6+ months and everything is good and meets our expectation.	1
	"relatively speaking tv speakers might be the weakest link, but we hook it up with external speakers so that's not a problem for us.           		"	1
	best 60hz 1080p hdtv under $1000!.	1
	i did a lot of research looking for our perfect high definition television for about a year before finally making our purchase.	1
	because we have only one television in our house we wanted to be certain of our choice.	1
	sure, you can spend more money for the same size television with similar specs, but why would you?	1
	the samsung ln40a550 has a stellar full hi-def 1080p picture for a 40' hdtv running at only 60hz.	1
	after seeking out an hdtv for many moons that would satisfy our viewing needs we had basically settled on one of three options: a sony bravia, a sharp aquos or the samsung television which we now own and couldn't be happier with.	1
	the resolution is superb, the colors are rich and performance is rock solid.	1
	from the opening chime you'll be delighted until you turn it off and the set chimes a second time (there is the option to turn this off if it annoys you).	1
	there are three hdmi inputs and a pc input (handily located on the side for quick laptop connectivity); we currently only utilize two hdmi ports, one for an xbox 360 which doubles as our upconverting dvd player and one for our hd dvr/receiver.	1
	the set up is a snap, and if you're familiar with menu schemes, you'll quickly find yourself navigating with ease.	1
	we picked this set up on sale for under $800 after waiting a long time for prices to come down and i see no viable competition for it in the $1100 and under range.	1
	if you require more hdmi inputs or demand a 120 hz picture, then i can't quite recommend this for you, but if you have typical family needs and want a rock-solid beautiful television for under $1000 you can do no better.	1
	buy it.	1
	"you'll be glad you did.           		"	1
	buy something else.	1
	please consider another brand of lcd.	1
	the sound on this set is inferior to almost all other sets on the market.	1
	the set stopped working completely one and a half months after the 1 year warrenty.	1
	i made a mistake and wish you do not.	1
	"sincerely.....dennis           		"	1
	excellent tv..very sharp..many hookups!!.	1
	this tv is amazing!!!	1
	i bought this at bestbuy in fall '08 for the black friday thanksgiving thingy for only $605!!!!	1
	best 600 i ever spent...i am currently using this as my pc screeen & theatre tv in my living room!!!	1
	got the hd tv from the local cable tv provider and everything looks beautiful....for the class it's in i think it is probably the best looking quality!!!	1
	easy onscreen software to use!!!	1
	only downfalls i have with this is - hookups could use 1 more hdmi and/or dvi!!	1
	!only the rf cable input can be used for pip function!!!!	1
	i own a samsung bdp-1500 bluray player so the anynet+ feature is sweet...put in a disk and it turns on the tv and the theatre system all in one (everything must be samsung product & compatible with anynet feature)                      owned many samsung products....this one the best!!	1
	can't wait for the samsung 120hz or 240hz to be in my living room next!!!	1
	"!           		"	1
	best bang for the buck.	1
	have had it for 6 months, everything is perfect.	1
	easily the best $[...] i've ever spent.	1
	believed it to be the best value in an hdtv back when i was doing my research before i bought it, now i'm sure of it.	1
	"get off the fence if you're on it and buy this one!           		"	1
	very nice tv.	1
	we got this tv about 6 months ago and have been enjoying it ever since then.	1
