	a fair review and some advice.i want to be fair to dan brown.	1
	elitist literary critics say that brown is not a good writer, and that his stories are bland.	1
	i personally think that if you manage to genuinely entertain and awe your audiences, then you have accomplished something worthy of reading.	1
	i also think that 'the da vinci code' was nearly an impossible act to follow.	1
	people will have all sorts of crazy expectations for your next book that you won't be able to fulfill.	1
	as such, i write this review as fair as i can, trying to assess it on its own merits, but comparisons are inevitable.	1
	the lost symbol isn't a bad book, but it is a letdown.	1
	i didn't like this one for the same reason i didn't like angels and demons as much.	1
	also, brown doesn't advance the story at a good pace.	1
	a good two-thirds of the book (i'm not exaggerating, i counted the pages) was filled with variations on such a scene: character a: have you heard of x?character b (usually langdon): yes, but i thought that was just a myth.character a shows or tells b something.character b reacts with shock.then, insert scenes of people walking from one place to another, being chased.	1
	then, insert the sentence 'suddenly everything made sense.'	1
	at least for the next ten pages.repeat.	1
	after reading this, i had to wonder whether brown is a writer on lost, where people can't seem to give straight answers, and where scenes never resolve any questions.	1
	here's my advice to dan brown: 1. fire your editor.	1
	there were some whole passages, even chapters, that served no purpose other than to inflate your book to an unnecessary size.	1
	i don't mind reading big books, but i do mind reading through unnecessary words.	1
	ch.	1
	69, for example, is unnecessary.	1
	if your editor didn't ask you to take it out, then he should be fired.	1
	sorry.	1
	2. we don't need to know exactly how every character moves from one location to the next, which turn they took, what street they walked across.	1
	if it serves the plot, if the geography is important (as it was in angels and demons), then fine.	1
	geography was crucial at certain moments in this book, but many times, the passages when you describe how someone moves from one part of a house to another part, what door they opened and closed, all that is boring and tedious.	1
	3. don't write your novel like a screenplay.	1
	whether you've done it consciously or not, your short chapters read as if you had in mind exactly what camera shots you expect out of an inevitable movie adaptation.	1
	leave that to the screenwriter.	1
	if they can adapt a book like 'naked lunch,' they can surely adapt your book as well.	1
	write your novel as a novel.	1
	4. be careful of hubris.	1
	you're in a unique and rare position that, i'm sure, many authors dream of: your books will sell millions by default and you will get a multi-million dollar movie deal without question.	1
	good for you!	1
	some authors handle that well (e.g.	1
	j.k. rowling), some don't (e.g.	1
	stephen king, michael crichton).	1
	it's not that the latter are bad writers, but that they are capable of writing some really bad stuff.	1
	having said that, i'm not saying that the lost symbol is bad, just that it needs to lose about 100-pages of unnecessary, repetitive scenes.	1
	speaking of crichton, the reason i stopped reading him is that he became too formulaic.	1
	all his books are about a bunch of mismatched experts going to some remote location and something goes wrong.	1
	formula isn't bad per se.	1
	rowling is formulaic too.	1
	most of her books revolve around the hogwarts school year, but she puts enough story in there to make it work.	1
	you should do more of that.	1
	5. know what you're good at.	1
	you know your technology, which makes your book authentic.	1
	you also know that your readers are likely to go google a painting or artist you mentioned and be awed by what you described.	1
	that's great!	1
	i bet that also saves you the pain of having to request reprint permissions of artwork and such.	1
	also, since most people don't know their history, let alone the etymology of words they use everyday, you have literally an endless supply of stories.	1
	that's what you're good at.	1
	i'd say, forget the science stuff.	1
	it's interesting, but, as with angels and demons, it's an awkward fit.	1
	i don't recall there being any modern science in the da vinci code and i was fine with that.	1
	6. try a recurring character.	1
	langdon is fine, but consider having a character or two that returns in subsequent books.	1
	make them interesting, of course, and don't make them a love interest.	1
	so, here's the good news.	1
	dan brown hasn't nuked the fridge, at least not for me.	1
	also, now that this book is out in the open, readers are likely to give his next book a much fairer assessment.	1
	so, i look forward to reading that, but, i probably won't be buying it on the first day it's out.      	1
	a page-turner, but often for the wrong reasons.	1
	.	1
	..a quick note on the ranking: i hold 5-star ratings in reserve for the best of the best.	1
	the previous robert langdon books i would rate at about 4 stars for being fun reads but nothing that would resemble a literary masterpiece.	1
	i enjoyed this book significantly less than the other two, hence the two stars.	1
	'the lost symbol' is not a bad book.	1
	while it would certainly rank it 3rd amongst the three robert langdon novels it is still an amusing read.	1
	i forgive brown for his weak writing style and i accept that he writes characters that are fairly two-dimensional with little personality outside of that which pertains explicitly to the story.	1
	i accept that this novel was going to have the exact same story structure and characters as the previous two.	1
	i accept that the relationships between people will be odd.	1
	i accept that most chapters will end with a variation on his cheap cliffhanger 'and then robert couldn't believe what he saw!'	1
	i accept all that.	1
	and yet, even with all those concessions, this one just left me flat.	1
